file_name,movie_name,audience_rating,rating_key,year
G:\movies\Three Thousand Years of Longing (2022)\Three.Thousand.Years.of.Longing.2022.1080p.BluRay.x264-OFT.mkv,Three Thousand Years of Longing,6.7,137043,2022
G:\movies\Three Thousand Years of Longing (2022)\Three.Thousand.Years.of.Longing.2022.1080p.BluRay.REMUX.AVC.Atmos-PiRaTeS.mkv,Three Thousand Years of Longing,6.7,137043,2022
G:\movies\Three Thousand Years of Longing (2022)\Three Thousand Years of Longing (2022) (1080p AMZN Webrip x265 10bit EAC3 5.1 - JBENT)[TAoE].mkv,Three Thousand Years of Longing,6.7,137043,2022
F:\Movies\Three.Thousand.Years.of.Longing.2022.1080p.WEB-DL.DD5.1.H.264-EVO\Three.Thousand.Years.of.Longing.2022.1080p.WEB-DL.DD5.1.H.264-EVO.mkv,Three Thousand Years of Longing,6.7,137043,2022
G:\movies\Three Thousand Years of Longing (2022)\Three.Thousand.Years.of.Longing.2022.1080p.WEB-DL.DD5.1.H.264-EVO.mkv,Three Thousand Years of Longing,6.7,137043,2022
G:\movies\Kids\Movies\[ www.Torrenting.com ] - Thunderbirds.Are.Go.1966.iNTERNAL.DVDRip.XviD-CRDS\crds-tag-xvid.avi,Thunderbirds Are GO,6.5,127704,1966
G:\movies\Tick.Tick.BOOM!.2021.1080p.NF.WEB-DL.DDP5.1.Atmos.x264-EVO\Tick.Tick.BOOM!.2021.1080p.NF.WEB-DL.DDP5.1.Atmos.x264-EVO.mkv,"tick, tick...BOOM!",7.6,130959,2021
F:\Movies\Ticket.to.Paradise.2022.1080p.WEB-DL.DDP5.1.Atmos.H.264-EVO.mkv,Ticket to Paradise,6.2,137383,2022
F:\Movies\Ticket.to.Paradise.2022.1080p.WEB.H264-NAISU\ticket.to.paradise.2022.1080p.web.h264-naisu.mkv,Ticket to Paradise,6.2,137383,2022
F:\Movies\Ticket.to.Paradise.2022.1080p.BluRay.x264-KNiVES\Ticket.to.Paradise.2022.1080p.BluRay.x264-KNiVES.mkv,Ticket to Paradise,6.2,137383,2022
F:\Movies\Ticket.to.Paradise.2022.1080p.Bluray.REMUX.AVC.DTS-HD.MA.7.1-GHD\Ticket.to.Paradise.2022.1080p.Bluray.REMUX.AVC.DTS-HD.MA.7.1-GHD.mkv,Ticket to Paradise,6.2,137383,2022
F:\Movies\Ticket.to.Paradise.2022.MULTi.1080p.BluRay.x264-Ulysse\ticket.to.paradise.2022.multi.1080p.bluray.x264-ulysse.mkv,Ticket to Paradise,6.2,137383,2022
F:\Movies\Ticket to Paradise 2022 BluRay 1080p REMUX AVC DTS-HD MA 7.1-LEGi0N\Ticket.to.Paradise.2022.BluRay.1080p.REMUX.AVC.DTS-HD.MA.7.1-LEGi0N.mkv,Ticket to Paradise,6.2,137383,2022
G:\movies\Ticket to Paradise (2022)\Ticket.to.Paradise.2022.1080p.BluRay.x264-KNiVES.mkv,Ticket to Paradise,6.2,137383,2022
G:\movies\Ticket to Paradise (2022)\Ticket to Paradise 2022 BluRay 1080p REMUX AVC DTS-HD MA 7.1-LEGi0N.mkv,Ticket to Paradise,6.2,137383,2022
G:\movies\The Tinder Swindler (2022)\The.Tinder.Swindler.2022.1080p.NF.WEB-DL.DDP5.1.Atmos.x264-CMRG.mkv,The Tinder Swindler,7.4,132313,2022
G:\movies\Titanic (1997)\Titanic 1997 1080p Blu-ray Remux AVC DTS-HD MA 5.1 - KRaLiMaRKo.mkv,Titanic,7.8,22957,1997
G:\movies\To All the Boys Always and Forever (2021)\To.All.the.Boys.Always.and.Forever.2021.1080p.NF.WEB-DL.DDP5.1.Atmos.x264-CMRG.mkv,To All the Boys: Always and Forever,6.3,127219,2021
G:\movies\To.All.the.Boys.P.S.I.Still.Love.You.2020.iNTERNAL.MULTi.1080p.WEB.x264-CiELOS\to.all.the.boys.p.s.i.still.love.you.2020.internal.multi.1080p.web.x264-cielos.mkv,To All the Boys: P.S. I Still Love You,6.0,127171,2020
G:\movies\Tolkien (2019)\Tolkien.2019.1080p.BluRay.REMUX.AVC.DTS-HD.MA.5.1-EPSiLON.mkv,Tolkien,6.8,113383,2019
G:\movies\The.Toll.2021.1080p.Bluray.DTS-HD.MA.5.1.X264-EVO\The.Toll.2021.1080p.Bluray.DTS-HD.MA.5.1.X264-EVO.mkv,Tollbooth,5.5,133815,2021
G:\movies\Tom & Jerry (2021)\Tom.and.Jerry.2021.1080p.WEB-DL.DD5.1.H.264-EVO.mkv,Tom & Jerry: The Movie,5.3,133163,2021
G:\movies\Tom.and.Jerry.Cowboy.Up.2022.1080p.WEB-DL.DDP5.1.H.264-EVO\Tom.and.Jerry.Cowboy.Up.2022.1080p.WEB-DL.DDP5.1.H.264-EVO.mkv,Tom and Jerry: Cowboy Up!,5.4,132380,2022
F:\Movies\Tom.and.Jerry.Snowmans.Land.2022.1080p.AMZN.WEB-DL.H264.DDP5.1-EVO\Tom.and.Jerry.Snowmans.Land.2022.1080p.AMZN.H264.DDP5.1-EVO.mkv,Tom and Jerry: Snowman's Land,5.4,137577,2022
G:\movies\Tom and Jerry Snowman's Land (2022)\Tom.and.Jerry.Snowmans.Land.2022.1080p.AMZN.WEB-DL.H264.DDP5.1-EVO.mkv,Tom and Jerry: Snowman's Land,5.4,137577,2022
G:\movies\Tom.and.Jerry.The.Fast.and.The.Furry.2005.1080p.Blu-ray.Remux.AVC.DTS-HD.MA.5.1-SiCFoI\Tom.and.Jerry.The.Fast.and.The.Furry.2005.1080p.Blu-ray.Remux.AVC.DTS-HD.MA.5.1-SiCFoI.mkv,Tom and Jerry: The Fast and the Furry,6.7,130309,2005
G:\movies\The.Tomorrow.War.2021.1080p.AMZN.WEB-DL.DDP5.1.H.264-CMRG\The.Tomorrow.War.2021.1080p.AMZN.WEB-DL.DDP5.1.H.264-CMRG.mkv,The Tomorrow War,6.6,130321,2021
G:\movies\Top Gun (1986)\Top Gun (1986) Bluray-720p.mkv,Top Gun,6.9,134111,1986
F:\Movies\Top.Gun.Maverick.2022.1080p.Bluray.Remux.AVC.TrueHD.Atmos.7.1-GHD\Top.Gun.Maverick.2022.1080p.Bluray.Remux.AVC.TrueHD.Atmos.7.1-GHD.mkv,Top Gun: Maverick,8.4,137553,2022
G:\movies\Top Gun Maverick (2022)\Top.Gun.Maverick.2022.1080p.Bluray.Remux.AVC.TrueHD.Atmos.7.1-GHD.mkv,Top Gun: Maverick,8.4,137553,2022
G:\movies\Tora! Tora! Tora! (1970)\Tora Tora Tora 1970 Dts HEVC-d3g.mkv,Tora! Tora! Tora!,7.5,118863,1970
G:\movies\Toy Story 4 (2019)\Toy.Story.4.2019.720p.BluRay.x264-x0r.mkv,Toy Story 4,7.7,126482,2019
G:\movies\Trainspotting (1996)\Trainspotting.1996.1080p.BluRay.ReMux.DTS-HD-CREATiVE24.mkv,Trainspotting,8.1,85590,1996
